goos: linux
goarch: amd64
pkg: blog-examples/compression-overview/dict
cpu: 12th Gen Intel(R) Core(TM) i5-12500
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      93	  22155790 ns/op	  49.45 MB/s	    172293 comp_bytes	         6.359 ratio	  135046 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      97	  22221522 ns/op	  49.30 MB/s	    172293 comp_bytes	         6.359 ratio	  130324 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      97	  22202692 ns/op	  49.35 MB/s	    172293 comp_bytes	         6.359 ratio	  130324 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      97	  22873232 ns/op	  47.90 MB/s	    172293 comp_bytes	         6.359 ratio	  130324 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=5       	      92	  23400716 ns/op	  46.82 MB/s	    172293 comp_bytes	         6.359 ratio	  136290 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      93	  23457468 ns/op	  46.71 MB/s	    172085 comp_bytes	         6.367 ratio	  146265 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      88	  23478254 ns/op	  46.67 MB/s	    172085 comp_bytes	         6.367 ratio	  153467 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      88	  24861412 ns/op	  44.07 MB/s	    172085 comp_bytes	         6.367 ratio	  153467 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      88	  23812761 ns/op	  46.01 MB/s	    172085 comp_bytes	         6.367 ratio	  153408 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      92	  23160502 ns/op	  47.31 MB/s	    172085 comp_bytes	         6.367 ratio	  147631 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=6       	      88	  23169463 ns/op	  47.29 MB/s	    172085 comp_bytes	         6.367 ratio	  153467 B/op	       6 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      88	  23823171 ns/op	  45.99 MB/s	    171769 comp_bytes	         6.379 ratio	  213364 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      86	  23830570 ns/op	  45.98 MB/s	    171769 comp_bytes	         6.379 ratio	  217080 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      87	  23828525 ns/op	  45.98 MB/s	    171769 comp_bytes	         6.379 ratio	  215170 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      92	  23816836 ns/op	  46.00 MB/s	    171769 comp_bytes	         6.379 ratio	  206535 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      86	  23844419 ns/op	  45.95 MB/s	    171769 comp_bytes	         6.379 ratio	  217017 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=7       	      86	  23835330 ns/op	  45.97 MB/s	    171769 comp_bytes	         6.379 ratio	  217017 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      92	  25773942 ns/op	  42.51 MB/s	    171762 comp_bytes	         6.379 ratio	  343304 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      92	  25749550 ns/op	  42.55 MB/s	    171762 comp_bytes	         6.379 ratio	  343304 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      78	  25765554 ns/op	  42.52 MB/s	    171762 comp_bytes	         6.379 ratio	  394820 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      92	  25744456 ns/op	  42.56 MB/s	    171762 comp_bytes	         6.379 ratio	  343304 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      92	  25747980 ns/op	  42.55 MB/s	    171762 comp_bytes	         6.379 ratio	  343304 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=8       	      92	  25810041 ns/op	  42.45 MB/s	    171762 comp_bytes	         6.379 ratio	  343304 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      88	  26631548 ns/op	  41.14 MB/s	    171666 comp_bytes	         6.382 ratio	  549228 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      90	  26604143 ns/op	  41.18 MB/s	    171666 comp_bytes	         6.382 ratio	  538273 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      90	  26601610 ns/op	  41.19 MB/s	    171666 comp_bytes	         6.382 ratio	  538273 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      90	  26630411 ns/op	  41.14 MB/s	    171666 comp_bytes	         6.382 ratio	  538273 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      90	  26606225 ns/op	  41.18 MB/s	    171666 comp_bytes	         6.382 ratio	  538273 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=9       	      90	  26609354 ns/op	  41.17 MB/s	    171666 comp_bytes	         6.382 ratio	  538273 B/op	      18 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=10      	       4	 640498128 ns/op	   1.71 MB/s	    163459 comp_bytes	         6.703 ratio	  263312 B/op	       3 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=10      	       4	 640071476 ns/op	   1.71 MB/s	    163459 comp_bytes	         6.703 ratio	  263312 B/op	       3 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=10      	       4	 639908834 ns/op	   1.71 MB/s	    163459 comp_bytes	         6.703 ratio	  263312 B/op	       3 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=10      	       4	 640059186 ns/op	   1.71 MB/s	    163459 comp_bytes	         6.703 ratio	  263312 B/op	       3 allocs/op
BenchmarkCompress/dict=br.dict.112k.bin/lib=brotli/level=10      	       4	 639927586 ns/op	   1.71 MB/s	    163459 comp_bytes	         6.703 ratio	  263312 B/op	       3 allocs/op
